variant,annReturn,cagr,annVol,maxDrawdown,sharpe,sortino,calmar,bestMonth,worstMonth,monthlyWinRate,averageMonthlyReturn,pnl,turnover,avgTurnover,costs,averageNumberOfHoldings,percentTimeInCash,percentTimeBtcRegimeRiskOn
A Trend Only,-0.06281277768849702,-0.06281277768849702,0.47733131755436337,-0.7025447204368425,-0.13159157042182396,-0.1096132882416725,-0.08940751508237088,1.1447074695748647,-0.3107873016601713,0.3220338983050847,0.009509892668158522,-27120.521484399855,59.3224299994959,0.23263698039018002,9220.445635116052,2.850980392156863,0.5558674901740596,0.5372549019607843
B Trend + Momentum,0.228748722033137,0.228748722033137,0.46673031161821144,-0.4969158848811316,0.4901089908646324,0.387749135882551,0.4603369081023774,1.25477942374249,-0.36482004349887787,0.3050847457627119,0.032386478572250126,173077.36342166062,62.568193072339675,0.24536546302878304,24773.82001646296,1.2705882352941176,0.6973610331274565,0.5372549019607843
C Full Model,0.26078378818083126,0.26078378818083126,0.4633172834402563,-0.47775264982469945,0.5628622058828477,0.4474527459495477,0.5458552417794438,1.2547794237424905,-0.36482004349887776,0.3050847457627119,0.034231914480235145,209595.99350447766,62.568193072339675,0.24536546302878304,27470.66455325243,1.2705882352941176,0.6973610331274565,0.5372549019607843
D No BTC Regime Cap,0.228748722033137,0.228748722033137,0.46673031161821144,-0.4969158848811316,0.4901089908646324,0.387749135882551,0.4603369081023774,1.25477942374249,-0.36482004349887787,0.3050847457627119,0.032386478572250126,173077.36342166062,62.568193072339675,0.24536546302878304,24773.82001646296,1.2705882352941176,0.6973610331274565,0.5372549019607843
E Monthly Rebalance,-0.018776823040386303,-0.018776823040386303,0.45896362854088346,-0.5538980300988039,-0.0409113530413744,-0.0320652837276361,-0.03389942195143194,0.637090071125916,-0.3714427212256506,0.3050847457627119,0.008985839591448734,-8829.587762151408,30.101482011750807,0.5016913668625135,6824.24590463015,1.35,0.6597417181358787,0.5333333333333333
F Top 5,0.25564933350261065,0.25564933350261065,0.4180980593318883,-0.42499148030885014,0.6114578333875378,0.46927975761331375,0.6015399022042158,1.1438419784827487,-0.2794090341711798,0.2711864406779661,0.031616497373628656,203495.74115258188,61.97188300651476,0.2430269921824108,27393.930799750564,1.7058823529411764,0.6973610331274565,0.5372549019607843
G 50 bps Cost,0.2131386909468882,0.2131386909468882,0.4633916550672017,-0.49672733219686094,0.4599536668738209,0.3642125754372887,0.42908589306782485,1.2428865191212366,-0.36818280929768954,0.3050847457627119,0.03085664310671061,156570.75112374444,62.568193072339675,0.24536546302878304,61276.72282300244,1.2705882352941176,0.6973610331274565,0.5372549019607843
