regime,days,annualizedReturn,annualizedVol,winRate
Contraction,1614,0.056259616698729475,0.12121026317650031,0.5278810408921933
Expansion,2013,0.1732659137713013,0.14403236437562028,0.5787382016890213
Recovery,292,0.15539639501798996,0.07580596054641214,0.6232876712328768
Slowdown,949,0.1423499324974853,0.07520845845887765,0.5869336143308747
