year,month,return
2007,2,-0.011724365275565196
2007,3,0.007471987922717194
2007,4,0.039998522705454675
2007,5,0.024684789151211417
2007,6,-0.012810304324786026
2007,7,-0.020602522633280884
2007,8,0.019967683139387127
2007,9,0.046528986999457844
2007,10,0.026725093891831087
2007,11,0.00445240141290526
2007,12,0.010269588708234245
2008,1,0.03756723837587672
2008,2,0.010085826488708483
2008,3,0.0016688784811060842
2008,4,-0.02457589385947223
2008,5,-0.014709423561995005
2008,6,0.025687582956410715
2008,7,-0.0039009089375855455
2008,8,-0.0017618693026988375
2008,9,0.02076211090765656
2008,10,-0.041428575235689324
2008,11,0.11431188031993988
2008,12,0.09895075328693026
2009,1,-0.07012153737563565
2009,2,-0.005998941733093566
2009,3,0.02042779537875794
2009,4,-0.04876221187838159
2009,5,-0.002504985650675251
2009,6,-0.006680155767305074
2009,7,0.0626182044636987
2009,8,0.012085200433038956
2009,9,0.04435399156125586
2009,10,-0.014426384746867194
2009,11,0.06400370495766339
2009,12,0.018095433847324705
2010,1,-0.037798255534200687
2010,2,0.033153173000852965
2010,3,0.05350182209609966
2010,4,0.021711573898576475
2010,5,-0.06399267262021135
2010,6,-0.039389620262773706
2010,7,0.054517315252093024
2010,8,0.02413048682020391
2010,9,0.028025211638046388
2010,10,0.007974343718601506
2010,11,0.00046268764691026476
2010,12,0.05487035524714989
2011,1,0.014787951065775795
2011,2,0.034669464063646016
2011,3,0.0010539849204020957
2011,4,0.0336154493171581
2011,5,-0.01134751340848994
2011,6,-0.015623554476075219
2011,7,0.02721045478187767
2011,8,0.08382912886249239
2011,9,0.0536064551799178
2011,10,-0.010788854308351525
2011,11,0.01617454888640335
2011,12,-0.0020223829070045163
2012,1,0.038395560747740864
2012,2,0.023614897735410922
2012,3,0.027051008388281117
2012,4,-0.005207844421231345
2012,5,-0.059471361231751785
2012,6,0.03830613726353338
2012,7,0.01548229038573301
2012,8,0.015373023171438405
2012,9,0.011450931140591702
2012,10,-0.00868477588820149
2012,11,0.00536692546440376
2012,12,0.004395267349274423
2013,1,0.035790991827735485
2013,2,0.004185656317536424
2013,3,0.030673637290404177
2013,4,0.011271502353773277
2013,5,0.01235219932216114
2013,6,-0.025561550244918574
