"time","equity","fundingRate","annualized","inPosition","spot","mark"
"1749067200000","100000","0","0.0001293613912253759","False","104984.37","104984.37"
"1749070800000","100000","-3.52108594313455E-08","-0.000052036412188159745","False","104665.85","104665.85"
"1749074400000","100000","-7.14876178930759E-07","-0.0008222489620035582","False","104983.8","104983.8"
"1749078000000","100000","-7.15146518582991E-09","-0.0008322155826247828","False","104842.1","104842.1"
"1749081600000","100000","-2.98532958157049E-07","-0.0011628423692844267","False","104747.85","104747.85"
"1749085200000","100000","-1.25431014449212E-08","-0.0011783859534563572","False","105019.04","105019.04"
"1749088800000","100000","0","-0.0011738513231855409","False","104816.29","104816.29"
"1749092400000","100000","0","-0.0011728820022630553","False","105047.94","105047.94"
"1749096000000","100000","0","-0.0011726612857220512","False","105086.7","105086.7"
"1749099600000","100000","0","-0.001130664546732775","False","105224.27","105224.27"
"1749103200000","100000","0","-0.000348932191980671","False","104696.06","104696.06"
"1749106800000","100000","0","-0.0003406406434663132","False","104500.02","104500.02"
"1749110400000","100000","0","-0.000013734696082188684","False","104562.05","104562.05"
"1749114000000","100000","-5.11866960786252E-07","-0.0005629439708602822","False","104716.06","104716.06"
"1749117600000","100000","-9.77743447898233E-08","-0.0006690225337891826","False","104942.95","104942.95"
"1749121200000","100000","-4.8488775715211E-08","-0.0007236494403021849","False","104702.99","104702.99"
"1749124800000","100000","0","-0.0007239164484158718","False","104874.87","104874.87"
"1749128400000","100000","8.60079569494943E-09","-0.0007154148865686948","False","105701.71","105701.71"
"1749132000000","100000","0","-0.0007118236115022634","False","104559.77","104559.77"
"1749135600000","100000","2.12030049282804E-08","-0.0006872867216911868","False","104684.9","104684.9"
"1749139200000","100000","0.000004018094615996795","0.0037069556407329915","False","104570.89","104570.89"
"1749142800000","100000","5.74686486568754E-07","0.004903890812437479","False","103300.48","103300.48"
"1749146400000","100000","9.50013792525641E-10","0.005022867840610646","False","103251.46","103251.46"
"1749150000000","100000","0","0.005064356476223398","False","103020.73","103020.73"
"1749153600000","100000","-2.26254220921662E-08","0.0050474493749004335","False","101913.98","101913.98"
"1749157200000","100000","4.79579836311007E-08","0.005132217381975454","False","100504.83","100504.83"
"1749160800000","100000","0","0.005076771880505582","False","101583.92","101583.92"
"1749164400000","100000","0","0.005059602339505085","False","101548.64","101548.64"
"1749168000000","100000","0","0.0006590701737283161","False","101561.39","101561.39"
"1749171600000","100000","0","0.000029426576995819676","False","101941.48","101941.48"
"1749175200000","100000","-9.02954614993116E-08","-0.00007177124471592847","False","101892.26","101892.26"
"1749178800000","100000","-0.000001168540023703209","-0.001365333384623698","False","102228.3","102228.3"
"1749182400000","100000","-0.000010646627854435752","-0.012948369574730641","False","102547.25","102547.25"
"1749186000000","100000","-0.000016202785723002556","-0.030209806511150128","False","102837.15","102837.15"
"1749189600000","100000","-0.00001777640951007427","-0.0497621152568332","False","103005.11","103005.11"
"1749193200000","100000","-0.0000024118812291064247","-0.05234849955680168","False","103230.45","103230.45"
"1749196800000","100000","-0.0000029085589770541997","-0.055488450343775086","False","103206.64","103206.64"
"1749200400000","100000","-9.37380375806999E-08","-0.05579749885450131","False","103577.35","103577.35"
"1749204000000","100000","-2.83680796080942E-10","-0.05567203815491622","False","103703.97","103703.97"
"1749207600000","100000","0","-0.054571872891003646","False","103736.84","103736.84"
"1749211200000","100000","0","-0.04304770553059023","False","104000.05","104000.05"
"1749214800000","100000","0","-0.02537719398558721","False","103864.08","103864.08"
"1749218400000","100000","-9.62260200972162E-08","-0.006026177546817732","False","104165.45","104165.45"
"1749222000000","100000","-3.83839628967049E-09","-0.0033967385084507427","False","104880.46","104880.46"
"1749225600000","100000","-4.54769030353328E-08","-0.0002608200414203071","False","105179.54","105179.54"
"1749229200000","100000","0","-0.00015874504901379848","False","104853.24","104853.24"
"1749232800000","100000","0","-0.0001586280995551279","False","105017.36","105017.36"
"1749236400000","100000","0","-0.00015867837830176008","False","104587.63","104587.63"
"1749240000000","100000","0","-0.00015908099068086092","False","104304.83","104304.83"
"1749243600000","100000","0","-0.00015887300768178663","False","104565.28","104565.28"
"1749247200000","100000","0","-0.00005366076624183565","False","104475.37","104475.37"
"1749250800000","100000","-5.46539777428287E-07","-0.0006505787219702722","False","104560.17","104560.17"
"1749254400000","100000","-5.09622041489211E-07","-0.0011638364224918903","False","104383.38","104383.38"
"1749258000000","100000","-9.17003440100225E-08","-0.001261089695813742","False","104595.91","104595.91"
"1749261600000","100000","-5.01123544811866E-07","-0.0018140048874216805","False","104543.01","104543.01"
"1749265200000","100000","-2.65293526075057E-07","-0.002097202395156479","False","104627.52","104627.52"
"1749268800000","100000","-8.88816173866382E-07","-0.003061783680896894","False","104959.73","104959.73"
"1749272400000","100000","-1.0433439309739E-07","-0.0031833042403406507","False","104900.29","104900.29"
"1749276000000","100000","-1.98866252550236E-07","-0.003397385161590487","False","104955.17","104955.17"
"1749279600000","100000","0","-0.002801195920798815","False","105382.62","105382.62"
"1749283200000","100000","0","-0.0022393670579992342","False","104945.74","104945.74"
"1749286800000","100000","0","-0.0021433102054958597","False","104817","104817"
"1749290400000","100000","0","-0.0015937734557009507","False","104906.15","104906.15"
"1749294000000","100000","0","-0.0013043305817818844","False","105210.71","105210.71"
"1749297600000","100000","0","-0.0003321280962331838","False","105201.27","105201.27"
"1749301200000","100000","0","-0.00021775854654250878","False","105512.71","105512.71"
"1749304800000","100000","0","0","False","105683.75","105683.75"
"1749308400000","100000","0","0","False","105491.8","105491.8"
"1749312000000","100000","0","0","False","105618.2","105618.2"
"1749315600000","100000","-4.94931441774026E-09","-0.000005378387974895312","False","105396.15","105396.15"
"1749319200000","100000","0","-0.0000053829624550651485","False","105450.55","105450.55"
"1749322800000","100000","0","-0.000005398590090292585","False","105650.17","105650.17"
"1749326400000","100000","0","-0.000005398105703385089","False","105778.48","105778.48"
"1749330000000","100000","0","-0.000005414086366358666","False","105910.85","105910.85"
"1749333600000","100000","0","-0.000005422862800326687","False","105826.37","105826.37"
"1749337200000","100000","0","-0.0000054130108632250725","False","105877.1","105877.1"
"1749340800000","100000","0","-0.000005419499287425589","False","105620.44","105620.44"
"1749344400000","100000","0","0","False","105530.87","105530.87"
"1749348000000","100000","1.11129961399344E-07","0.0001215946909978885","False","105743.78","105743.78"
"1749351600000","100000","7.54547212109503E-09","0.00013007984993338004","False","105506.73","105506.73"
"1749355200000","100000","4.71834777763E-07","0.0006482276516913412","False","105532.91","105532.91"
"1749358800000","100000","8.1364315287001E-07","0.0015431687673194076","False","105666.25","105666.25"
"1749362400000","100000","0","0.001541937855685112","False","105491.19","105491.19"
"1749366000000","100000","9.8865748816893E-08","0.0016513310411608135","False","105496.44","105496.44"
"1749369600000","100000","1.89586083058505E-08","0.001668112074690219","False","105485.24","105485.24"
"1749373200000","100000","0.0000021783332589770043","0.00405300417717789","False","105420.23","105420.23"
"1749376800000","100000","0.0000042488249014909076","0.008605990708733836","False","105194.44","105194.44"
"1749380400000","100000","0.000002580382164552171","0.011412361117201755","False","105400.48","105400.48"
"1749384000000","100000","0.0000010095529230674027","0.012005255051617087","False","105715.32","105715.32"
"1749387600000","100000","0.00000439014314840747","0.01593333403053363","False","105756.13","105756.13"
"1749391200000","100000","0.0000013839070283474737","0.017418518739616428","False","105662.47","105662.47"
"1749394800000","100000","7.31048868279368E-07","0.018110362895736254","False","105882.22","105882.22"
"1749398400000","100000","2.14739553844029E-07","0.018321940953090823","False","106032.85","106032.85"
"1749402000000","100000","2.16676291128209E-07","0.016162734082833596","False","106242.75","106242.75"
"1749405600000","100000","0.000002768887329095343","0.01448763320492637","False","106150.64","106150.64"
"1749409200000","100000","9.16373392731505E-08","0.011784590606200646","False","106363.9","106363.9"
"1749412800000","100000","0","0.010711029605407716","False","106342.32","106342.32"
"1749416400000","100000","3.9480696300319E-07","0.006336032535799392","False","106201.24","106201.24"
"1749420000000","100000","2.15818733206464E-09","0.004818736286477591","False","106386.98","106386.98"
