"time","equity","spot","future","basis","annualized","netAnnualized","amortizedExecution","daysToExpiry","instrument","volume","marginUsed","cashBuffer","reason","inPosition"
"1762599600000","100000","101811.83","102430","0.00607169127595486","0.04629070111171851","0.0036666802239900534","0.00762402088772846","47.875","BTC-26DEC25","5.95804148","0","1","hold","False"
"1762603200000","100000","102018.8","102570","0.005402925735256581","0.0412279002097976","-0.0014027618111083235","0.0076306620209059236","47.833333333333336","BTC-26DEC25","4.15731619","0","1","hold","False"
"1762606800000","100000","101754.78","102117.5","0.003564648265172332","0.06573961853244133","0.012297513269283425","0.018442105263157895","19.791666666666668","BTC-28NOV25","0.55907154","0","1","hold","False"
"1762610400000","100000","101800.34","102447.5","0.006357149691248676","0.04859391910587993","0.005949940048288306","0.007643979057591623","47.75","BTC-26DEC25","12.52079096","0","1","hold","False"
"1762614000000","100000","101684.54","102297.5","0.006028055002264887","0.04611856927496979","0.0034679142531357275","0.007650655021834061","47.708333333333336","BTC-26DEC25","0.85359071","0","1","hold","False"
"1762617600000","100000","101824","102462.5","0.006270623821496013","0.04801631527649045","0.005358972619147795","0.007657342657342658","47.666666666666664","BTC-26DEC25","1.42046219","0","1","hold","False"
"1762621200000","100000","101969.08","102570","0.005893158985057045","0.04516541794321935","0.0025013759484686926","0.007664041994750657","47.625","BTC-26DEC25","2.14047841","0","1","hold","False"
"1762628400000","100000","101950.03","102430","0.004707894642110411","0.03614474764670219","-0.006532728251632605","0.007677475898334794","47.541666666666664","BTC-26DEC25","5.88444856","0","1","hold","False"
"1762632000000","100000","102040.97","102627.5","0.0057479853435340456","0.04416872948189319","0.001484518955577399","0.00768421052631579","47.5","BTC-26DEC25","0.95305617","0","1","hold","False"
"1762635600000","100000","102248.01","102860","0.005985348761310849","0.04603305983238195","0.0033421028525751012","0.007690956979806848","47.458333333333336","BTC-26DEC25","1.84375023","0","1","hold","False"
"1762639200000","100000","102345.41","102962.5","0.0060294838820811325","0.04641325026979853","0.003715534979816102","0.007697715289982425","47.416666666666664","BTC-26DEC25","2.96274167","0","1","hold","False"
"1762646400000","100000","101760.73","102117.5","0.003505969345935389","0.0661902833413664","0.012310972996538803","0.018879310344827586","19.333333333333332","BTC-28NOV25","1.37672015","0","1","hold","False"
"1762650000000","100000","102012.64","102647.5","0.006223346440205946","0.04803217164423268","0.005314109970223868","0.0077180616740088115","47.291666666666664","BTC-26DEC25","1.17410817","0","1","hold","False"
"1762653600000","100000","101613.88","102205","0.005817315508471754","0.04493799281676593","0.002213125091898204","0.007724867724867725","47.25","BTC-26DEC25","1.93368519","0","1","hold","False"
"1762657200000","100000","101642","102215","0.005637433344483522","0.043586863281267124","0.0008551774913289076","0.007731685789938217","47.208333333333336","BTC-26DEC25","3.48950107","0","1","hold","False"
"1762660800000","100000","101698.02","102352.5","0.0064355235234667685","0.04980140111799373","0.0070628852169336565","0.007738515901060072","47.166666666666664","BTC-26DEC25","2.2859448","0","1","hold","False"
"1762664400000","100000","101911.98","102470","0.005475509356211106","0.04240978069001705","-0.00033557740016862576","0.0077453580901856766","47.125","BTC-26DEC25","1.13869395","0","1","hold","False"
"1762668000000","100000","101728.63","102310","0.00571491034529803","0.044303198783018354","0.0015509863936378227","0.007752212389380531","47.083333333333336","BTC-26DEC25","2.14313991","0","1","hold","False"
"1762671600000","100000","101919.36","102412.5","0.004838531168170679","0.03754254475923397","-0.005216534071589768","0.007759078830823739","47.041666666666664","BTC-26DEC25","6.62141612","0","1","hold","False"
"1762675200000","100000","101961.03","102417.5","0.004476906520069601","0.03476746552820009","-0.007998491918608418","0.007765957446808511","47","BTC-26DEC25","12.79106081","0","1","hold","False"
"1762678800000","100000","101635.16","102085","0.0044260273708429665","0.034402839191290495","-0.008370009078452185","0.007772848269742679","46.958333333333336","BTC-26DEC25","74.46104309","0","1","hold","False"
"1762682400000","100000","101864.02","102327.5","0.004549987326241345","0.03539776996258808","-0.0073819813695611206","0.007779751332149201","46.916666666666664","BTC-26DEC25","19.95480922","0","1","hold","False"
"1762686000000","100000","102232.01","102690","0.00447990800533038","0.034883550334839225","-0.007903116331827442","0.007786666666666667","46.875","BTC-26DEC25","38.90538502","0","1","hold","False"
"1762689600000","100000","102069.25","102510","0.00431814674840858","0.03365388391108466","-0.00913971039496516","0.007793594306049822","46.833333333333336","BTC-26DEC25","101.61529508","0","1","hold","False"
