date,turnover
2010-05-28,1.4
2010-06-30,0.22292408317698492
2010-07-30,0.11038265036681855
2010-08-31,0.06269478296250686
2010-09-30,0.04011695555183318
2010-10-29,0.036452581609666905
2010-11-30,0.051874353608192245
2010-12-31,0.035260245029463184
2011-01-31,0.04960848481738052
2011-02-28,0.02566917695820197
2011-03-31,0.012879224290472335
2011-04-29,0.010391971025502454
2011-05-31,0.018783203245229897
2011-06-30,0.013114102884799195
2011-07-29,0.021643576814141953
2011-08-31,0.018259113079311086
2011-09-30,0.01572371941121652
2011-10-31,0.059657412308093086
2011-11-30,0.02690994971952188
2011-12-30,0.031123634502167596
2012-01-31,0.015410167298831797
2012-02-29,0.05889145954921801
2012-03-30,0.04360139931912911
2012-04-30,0.05817210020026341
2012-05-31,0.038233955583061516
2012-06-29,0.03345949935751276
2012-07-31,0.028587358855206094
2012-08-31,0.03977070392777752
2012-09-28,0.03811155677943835
2012-10-31,0.02103183302307321
2012-11-30,0.026921422187868645
2012-12-31,0.010754076373996231
2013-01-31,0.025188430009448648
2013-02-28,0.03759698632820671
2013-03-28,0.06708813115889163
2013-04-30,0.027605811867003907
2013-05-31,0.023905289196080877
2013-06-28,0.03559727701670756
2013-07-31,0.03885449882207787
2013-08-30,0.0324343428911726
2013-09-30,0.021495846969179444
2013-10-31,0.02621662401946337
2013-11-29,0.014866480676251174
2013-12-31,0.011352832503200214
2014-01-31,0.08039066645967567
2014-02-28,0.03589249783764686
2014-03-31,0.03379866168049231
2014-04-30,0.03045728491501446
2014-05-30,0.0030375561213656574
2014-06-30,0.010403289016745684
2014-07-31,0.008818640913650831
2014-08-29,0.03729961005880494
2014-09-30,0.03266880807961119
2014-10-31,0.04770151947706537
2014-11-28,0.09104627903071039
2014-12-31,0.05920404929596624
2015-01-30,0.09470542228687895
2015-02-27,0.01815172297147119
2015-03-31,0.010091402369746615
2015-04-30,0.014948200396301507
2015-05-29,0.011486803573589964
2015-06-30,0.03325442466722885
2015-07-31,0.05553242553455965
2015-08-31,0.019280514783316414
2015-09-30,0.02725363048051195
2015-10-30,0.039681704931295525
2015-11-30,0.04179577966839389
2015-12-31,0.03870456321980641
2016-01-29,0.03242980125852155
2016-02-29,0.0326664759919021
2016-03-31,0.02552709435467085
2016-04-29,0.03312460016094927
2016-05-31,0.060604528661507714
2016-06-30,0.06777903143489228
2016-07-29,0.07102057049433373
2016-08-31,0.09274704815461886
2016-09-30,0.06253813701354394
2016-10-31,0.07371070196389032
2016-11-30,0.027218608126310096
2016-12-30,0.034465209786727694
2017-01-31,0.02564447397658591
2017-02-28,0.04511967587726759
2017-03-31,0.03583185603564368
2017-04-28,0.058240137578266175
2017-05-31,0.01624854173097271
2017-06-30,0.040617686131867226
2017-07-31,0.05581065864504815
2017-08-31,0.035718967667468654
2017-09-29,0.021936205703839723
2017-10-31,0.04949615479871756
2017-11-30,0.020362949396125506
2017-12-29,0.04867532701912333
2018-01-31,0.056889254355100824
2018-02-28,0.02265782617418865
2018-03-29,0.02650018210359633
2018-04-30,0.008737607462255638
2018-05-31,0.02547945234172526
2018-06-29,0.028665696927886047
2018-07-31,0.02842958622580633
2018-08-31,0.029649279616314386
2018-09-28,0.018171395478970183
2018-10-31,0.0775646621120461
2018-11-30,0.013821644388424405
2018-12-31,0.025977328613673464
2019-01-31,0.060801046248065385
2019-02-28,0.07020297422169403
2019-03-29,0.05528506857256762
2019-04-30,0.046249238956119654
2019-05-31,0.0325366026706799
2019-06-28,0.03980292340491523
2019-07-31,0.04003026065361094
2019-08-30,0.024324757372580816
2019-09-30,0.04957419142570041
2019-10-31,0.0336293341450119
2019-11-29,0.06548747183808995
2019-12-31,0.038856079008459526
2020-01-31,0.06271389287872857
2020-02-28,0.04087805311179457
2020-03-31,0.02582531046563122
2020-04-30,0.02619188486685898
2020-05-29,0.02636916092190409
2020-06-30,0.0950639992518411
2020-07-31,0.047409547419096615
2020-08-31,0.0839053285851611
2020-09-30,0.05635698791784028
2020-10-30,0.04652623083074259
2020-11-30,0.024623799407231212
2020-12-31,0.05742997312752065
2021-01-29,0.059643465147001314
2021-02-26,0.08104420653216715
2021-03-31,0.037570063477283686
2021-04-30,0.030559832349681147
2021-05-28,0.022639602774693963
2021-06-30,0.023233242183667575
2021-07-30,0.0228008840145213
2021-08-31,0.042190292096479454
2021-09-30,0.024582818522164325
2021-10-29,0.020323633866564335
2021-11-30,0.058957955711581744
2021-12-31,0.01707788014217944
2022-01-31,0.013412054614907055
2022-02-28,0.0495181449075515
2022-03-31,0.052114585378991135
2022-04-29,0.0537741418370695
2022-05-31,0.03843669662254049
2022-06-30,0.07216883945398811
2022-07-29,0.03315622162787384
2022-08-31,0.07408394380164877
2022-09-30,0.06411022076262317
2022-10-31,0.05174674385404425
2022-11-30,0.06066619714431745
2022-12-30,0.0567524699264369
2023-01-31,0.02977746378086339
2023-02-28,0.038300932474804
2023-03-31,0.018705349899913827
2023-04-28,0.06886144279841472
2023-05-31,0.024686940316401514
2023-06-30,0.034986232680533705
2023-07-31,0.030137357721319466
2023-08-31,0.0495529982600267
2023-09-29,0.11733788909096392
2023-10-31,0.04419432197090295
2023-11-30,0.03288137188386321
2023-12-29,0.01803804480990127
2024-01-31,0.03567770195046788
2024-02-29,0.020171867279881513
2024-03-28,0.04502113214739605
2024-04-30,0.02115609284588383
2024-05-31,0.011820858297117619
2024-06-28,0.009501286780302466
2024-07-31,0.046878750319536346
2024-08-30,0.05309471721827801
2024-09-30,0.016431101354330353
2024-10-31,0.012806705170287425
2024-11-29,0.05842765396197155
2024-12-31,0.037587784561234905
2025-01-31,0.01312585229914834
2025-02-28,0.020467071508150348
2025-03-31,0.032949966625106866
2025-04-30,0.04116326154026074
2025-05-30,0.0626435051977875
2025-06-30,0.05178757466381434
2025-07-31,0.09842941460665003
2025-08-29,0.08393701146088482
2025-09-30,0.11506908286432346
2025-10-31,0.12418478494908441
2025-11-28,0.11264879351153972
2025-12-31,0.06087647988177093
2026-01-30,0.05973413353973216
2026-02-27,0.06467528694396393
2026-03-31,0.0511975744110648
2026-04-30,0.1700905437328934
2026-05-29,0.06511352934856568
2026-06-08,0.04937297907930871
