date,turnover,weights
2011-11-30,0.02690994971952188,"{'SPY': 0.17461898512827503, 'QQQ': 0.1279598022990633, 'TLT': 0.15865688598994768, 'IEF': 0.06583751712382746, 'TIP': 0.0015506730191579537, 'LQD': 0.10886580353261044, 'HYG': 0.1610016298955225, 'DBC': 0.11572405474078067, 'GLD': 0.004240343773149469, 'SHY': 0.0815443044976657}"
2011-12-30,0.031123634502167596,"{'SPY': 0.17492371457649114, 'QQQ': 0.1322343525304404, 'TLT': 0.16387044705067466, 'IEF': 0.06807250507083501, 'TIP': 0.0, 'LQD': 0.10547180730425565, 'HYG': 0.15462482566510083, 'DBC': 0.11620390811273254, 'GLD': 0.0, 'SHY': 0.0845984396894698}"
2012-01-31,0.015410167298831797,"{'SPY': 0.17117420142137812, 'QQQ': 0.13171276480099162, 'TLT': 0.16442451984110756, 'IEF': 0.06879900564914773, 'TIP': 0.0013143026422366164, 'LQD': 0.10795686706280158, 'HYG': 0.15724997354498862, 'DBC': 0.1149930872562529, 'GLD': 0.0, 'SHY': 0.08237527778109542}"
2012-02-29,0.05889145954921801,"{'SPY': 0.16031501934367218, 'QQQ': 0.12992920965465712, 'TLT': 0.1521289238077706, 'IEF': 0.06897546794275292, 'TIP': 0.009400457948511534, 'LQD': 0.11396632493381209, 'HYG': 0.16548035867712232, 'DBC': 0.11048569073902129, 'GLD': 0.005347951348419619, 'SHY': 0.08397059560426048}"
2012-03-30,0.04360139931912911,"{'SPY': 0.15646022543030438, 'QQQ': 0.13001962421809063, 'TLT': 0.14127727636730858, 'IEF': 0.07358688522453681, 'TIP': 0.009917176723061865, 'LQD': 0.11408609242004077, 'HYG': 0.1586962029410724, 'DBC': 0.11249415157172134, 'GLD': 0.005037848778734833, 'SHY': 0.09842451632512861}"
2012-04-30,0.05817210020026341,"{'SPY': 0.1500568052078876, 'QQQ': 0.12789438758061458, 'TLT': 0.14401178564390363, 'IEF': 0.0736674149063431, 'TIP': 0.0, 'LQD': 0.10848372468159848, 'HYG': 0.16301522099986232, 'DBC': 0.1206771215457938, 'GLD': 0.0, 'SHY': 0.11219353943399649}"
2012-05-31,0.038233955583061516,"{'SPY': 0.14394508120411065, 'QQQ': 0.12755891934948888, 'TLT': 0.14473988769271606, 'IEF': 0.06507948457024823, 'TIP': 0.0, 'LQD': 0.10922059559401272, 'HYG': 0.17745564936682012, 'DBC': 0.11659526632526061, 'GLD': 0.0, 'SHY': 0.1154051158973428}"
2012-06-29,0.03345949935751276,"{'SPY': 0.14585071733327043, 'QQQ': 0.1333921475611855, 'TLT': 0.14430005669002915, 'IEF': 0.06485565736512518, 'TIP': 0.0, 'LQD': 0.11151109538332431, 'HYG': 0.18008973932485473, 'DBC': 0.10052917485431422, 'GLD': 0.0, 'SHY': 0.1194714114878966}"
2012-07-31,0.028587358855206094,"{'SPY': 0.14289340884741047, 'QQQ': 0.12981887942023948, 'TLT': 0.14257960972686115, 'IEF': 0.06392173823780826, 'TIP': 0.0, 'LQD': 0.11336847801545269, 'HYG': 0.190602356378773, 'DBC': 0.09542043814400204, 'GLD': 0.0, 'SHY': 0.12139509122945295}"
2012-08-31,0.03977070392777752,"{'SPY': 0.14572481811008137, 'QQQ': 0.130990590413614, 'TLT': 0.15053566767485005, 'IEF': 0.05547940962700929, 'TIP': 0.0, 'LQD': 0.10983049146177375, 'HYG': 0.19852853013862748, 'DBC': 0.09176010441327302, 'GLD': 0.0, 'SHY': 0.11715038816077114}"
