year,month,return
2007,2,0.007269620030601054
2007,3,0.004506703659565403
2007,4,0.003055269160036511
2007,5,-0.0006738332178274353
2007,6,0.004751078300681888
2007,7,0.009040940060203395
2007,8,0.010487846678983503
2007,9,0.005520258647689014
2007,10,0.004779413808298161
2007,11,0.017927414104749628
2007,12,0.0029972068131423057
2008,1,0.016546798255977935
2008,2,0.010332745023449164
2008,3,0.002534482330998511
2008,4,-0.008374131142459329
2008,5,-0.003461775838790704
2008,6,0.002454896344808777
2008,7,0.004342059339381477
2008,8,0.0046643547446023614
2008,9,0.007779627625492891
2008,10,0.011046171699489182
2008,11,0.011052761551199719
2008,12,0.005630267067613159
2009,1,-0.004369390040113497
2009,2,-0.0014506519602809353
2009,3,0.0049932949565763
2009,4,-0.00165004288217252
2009,5,0.0005602927857739637
2009,6,-0.0009434429369774566
2009,7,0.0011007464806873646
2009,8,0.004091398081013553
2009,9,0.0023633158734377435
2009,10,0.001358760903082068
2009,11,0.005964048720352277
2009,12,-0.008407221183103997
2010,1,0.00795556580524659
2010,2,0.0016042412025734087
2010,3,-0.0026915926301882553
2010,4,0.0030013249164888567
2010,5,0.0038262683829777266
2010,6,-0.0019493503490727315
2010,7,0.03154264782242944
2010,8,0.00037777194867949504
2010,9,0.04519826030176155
2010,10,0.01749849280183069
2010,11,-0.006435962198045875
2010,12,0.023523694398479122
2011,1,0.00832776564721982
2011,2,0.021645862037757313
2011,3,0.0029283724914046516
2011,4,0.025419803925548434
2011,5,-0.0006489912417766419
2011,6,-0.016409552901127555
2011,7,0.01753767373850268
2011,8,0.002308054778216606
2011,9,-0.023520484226719596
2011,10,0.05080767527093699
2011,11,-0.006839347224335435
2011,12,0.015628770651513024
2012,1,0.028145612990472246
2012,2,0.021741907817470763
2012,3,-0.0012343404930503787
2012,4,0.008184599068329801
2012,5,-0.022122832307116536
2012,6,0.01978256443907922
2012,7,0.02161376345955124
2012,8,0.01603791782288333
2012,9,0.0030260859128097284
2012,10,-0.010292390336918977
2012,11,0.0069419566053465775
2012,12,-0.001404598200387852
2013,1,0.006390705088950677
2013,2,0.004353277831089075
2013,3,0.01148985388221857
2013,4,0.01741543236692711
2013,5,-0.014716820917381024
2013,6,-0.020024241942985688
2013,7,0.021546932601421043
2013,8,-0.009619558747753443
2013,9,0.010780550679833523
2013,10,0.02274876762605471
2013,11,0.00387616900730281
2013,12,0.005106049210833685
2014,1,0.003187274439469201
2014,2,0.024242162510412113
2014,3,-0.0009042860936608887
2014,4,0.00805829895898369
2014,5,0.017345445712425134
2014,6,0.009198515829796916
2014,7,-0.00918857789271088
2014,8,0.026309022618933975
2014,9,-0.01891509094096544
2014,10,0.012140121514706115
2014,11,0.004273074367696861
2014,12,-0.010038867447587752
2015,1,0.010983850070492185
2015,2,0.010884794970180689
2015,3,-0.009638808536486576
2015,4,0.005312628909178274
2015,5,-0.002834352668290241
2015,6,-0.016801927941123895
2015,7,0.0020587034997623377
2015,8,-0.02137370750490719
2015,9,-0.01136353125784828
2015,10,0.03202188203546141
2015,11,-0.01365484467836875
