series,pnl,annReturn,cagr,annVol,maxDrawdown,sharpe,sortino,calmar,monthlyWinRate,turnover,averageMonthlyTurnover,costs,averageNumberOfHoldings
Version A: Rule-Based,506200.8574778837,0.0971938279797997,0.0971938279797997,0.1088097157598892,-0.24575478629420533,0.9082833756085368,1.2760356819762224,0.3954910886799336,0.6609442060085837,52.75556090453621,0.22545111497665046,7353.253685552904,5.423076923076923
Version B: Optimizer-Based,256987.17058609898,0.06769325757836597,0.06769325757836597,0.08492838301623426,-0.2701723475623653,0.8148395502824501,1.1120386043504282,0.2505558329308294,0.6866952789699571,49.86376927544316,0.25702973853321215,5391.613292507383,9.010309278350515
SPY Buy & Hold,645751.5554090787,0.10897325890779719,0.10897325890779719,0.1964802442016482,-0.5518944958060964,0.6252712122720151,0.8821893760494407,0.1974530634675582,0.6566523605150214,,,,
60/40 SPY/IEF,381821.49396199634,0.08431364327206059,0.08431364327206059,0.11274917364895028,-0.31393577659800787,0.7744829948895674,1.1100877808496885,0.26856971889515957,0.6738197424892703,,,,
Static Equal-Weight ETF Basket,273068.2732257391,0.07012772067808948,0.07012772067808948,0.09948030750621485,-0.29541918918559473,0.7328380959941712,1.042180236241858,0.23738376938687047,0.6351931330472103,,,,
Risk Parity SPY/TLT/GLD/DBC,327319.1727167998,0.07763348870468056,0.07763348870468056,0.09396458250272577,-0.19894165288945265,0.848155576325974,1.2127718956592282,0.39023245045530874,0.6223175965665236,,,,
