date,regime,weights,controls,realizedVol60d,turnover
2010-05-28,Expansion,"{'SPY': 0.09318898068890728, 'QQQ': 0.12489104625145094, 'IWM': 0.10659351856891847, 'EFA': 0.07960056857384248, 'EEM': 0.10957028212959756, 'TLT': 0.0, 'IEF': 0.006863985438621034, 'TIP': 0.030384792278904102, 'LQD': 0.02455430385632222, 'HYG': 0.06933916765560089, 'DBC': 0.12603787660927251, 'GLD': 0.02925799347469807, 'SHY': 0.19971748447386456}",[],0.014451996332048057,1.600565031052271
2010-06-30,Expansion,"{'SPY': 0.10552746888683226, 'QQQ': 0.15770958528776832, 'IWM': 0.12237540011155942, 'EFA': 0.0716005673226511, 'EEM': 0.08836255736272003, 'TLT': 0.0, 'IEF': 0.03201295438918925, 'TIP': 0.03242120410330307, 'LQD': 0.03658681468780018, 'HYG': 0.08062157701014683, 'DBC': 0.17391139052027701, 'GLD': 0.03841070352901776, 'SHY': 0.06045977678873482}",[],0.10340559916387786,0.3369308674063972
2010-07-30,Slowdown,"{'SPY': 0.025060418449622972, 'QQQ': 0.03591400724046528, 'IWM': 0.04442229544305845, 'EFA': 0.06729084044138965, 'EEM': 0.029787160023871502, 'TLT': 0.18161062030455752, 'IEF': 0.090692608470103, 'TIP': 0.0, 'LQD': 0.044442258381636596, 'HYG': 0.03678218026737755, 'DBC': 0.16875919356693467, 'GLD': 0.05777063445401121, 'SHY': 0.2174677829569716}","['HYG cap', 'Vol target']",0.13593538946451594,0.8490273103450758
2010-08-31,Slowdown,"{'SPY': 0.02148635890704739, 'QQQ': 0.02653011476508791, 'IWM': 0.03727773136526624, 'EFA': 0.08105864903599314, 'EEM': 0.03735036813172056, 'TLT': 0.20650428059896875, 'IEF': 0.10455200338217786, 'TIP': 0.0, 'LQD': 0.04638014012473104, 'HYG': 0.034697355832976944, 'DBC': 0.17852497492914926, 'GLD': 0.05697793427527653, 'SHY': 0.16866008865160464}",['Vol target'],0.12181040632306425,0.14357547002849508
2010-09-30,Slowdown,"{'SPY': 0.025641414895674862, 'QQQ': 0.0313623363094903, 'IWM': 0.04048049625961435, 'EFA': 0.10144241475062862, 'EEM': 0.04788552577773104, 'TLT': 0.21017714742526833, 'IEF': 0.11162059543772254, 'TIP': 0.0, 'LQD': 0.05641073070472995, 'HYG': 0.04142111685991781, 'DBC': 0.21939894917553798, 'GLD': 0.06780862765890744, 'SHY': 0.0463506447447771}",[],0.08644654841388584,0.24461888781365515
2010-10-29,Slowdown,"{'SPY': 0.024297774041235606, 'QQQ': 0.03098596010965136, 'IWM': 0.040385380123578514, 'EFA': 0.10618684881078813, 'EEM': 0.04043011270849744, 'TLT': 0.2101893930551542, 'IEF': 0.11780256539863256, 'TIP': 0.0, 'LQD': 0.06395065869767382, 'HYG': 0.04437130869609979, 'DBC': 0.23233366672593214, 'GLD': 0.06482973219806258, 'SHY': 0.024236599434693938}",[],0.07272476741911232,0.06872697406095102
2010-11-30,Expansion,"{'SPY': 0.08996411859628978, 'QQQ': 0.15026032950400064, 'IWM': 0.11703638410735594, 'EFA': 0.09281873093835454, 'EEM': 0.05931207602955949, 'TLT': 0.0291436093943105, 'IEF': 0.07767080925701099, 'TIP': 0.014464402977642541, 'LQD': 0.04356555539263572, 'HYG': 0.07100925837390146, 'DBC': 0.20890622818103233, 'GLD': 0.022979610472120937, 'SHY': 0.02286888677578519}",[],0.09809801881028009,0.6431520678193742
2010-12-31,Expansion,"{'SPY': 0.09989644191436928, 'QQQ': 0.16376925719976831, 'IWM': 0.13060666596113435, 'EFA': 0.0855650210819674, 'EEM': 0.04145595750414485, 'TLT': 0.004632624992097227, 'IEF': 0.08216375000114945, 'TIP': 0.0077573762673078354, 'LQD': 0.04888914091940655, 'HYG': 0.084998457794827, 'DBC': 0.22292774724602227, 'GLD': 0.000730223339863556, 'SHY': 0.026607335777942005}",[],0.10153658084502337,0.15715445325321428
2011-01-31,Expansion,"{'SPY': 0.10483135673763472, 'QQQ': 0.1538942567115127, 'IWM': 0.14422172357899293, 'EFA': 0.10051628573194743, 'EEM': 0.02034939964973956, 'TLT': 0.004509109331632806, 'IEF': 0.07426272502684882, 'TIP': 0.0, 'LQD': 0.04468582085482111, 'HYG': 0.08917810638730884, 'DBC': 0.23590179611853365, 'GLD': 0.0, 'SHY': 0.02764941987102759}",[],0.09725212930430303,0.10339403729836567
2011-02-28,Expansion,"{'SPY': 0.11341866149851267, 'QQQ': 0.13872563123363757, 'IWM': 0.16068966807344753, 'EFA': 0.10930949136984504, 'EEM': 0.0, 'TLT': 0.0005527968745127833, 'IEF': 0.07158578118297891, 'TIP': 0.0, 'LQD': 0.04644542648330513, 'HYG': 0.09329846678449107, 'DBC': 0.23831277146249122, 'GLD': 0.0, 'SHY': 0.0276613050367783}",[],0.07742019693410805,0.08430256285720927
