year,month,return
2007,2,-0.0034169530059680042
2007,3,0.006408507438291355
2007,4,0.033174105944573595
2007,5,0.022602555744241082
2007,6,-0.010467525042798576
2007,7,-0.0214677718611771
2007,8,0.017287659602323036
2007,9,0.012855431950603569
2007,10,0.022659763696096347
2007,11,0.00650270825336241
2007,12,0.007837839363602495
2008,1,0.03658129449874514
2008,2,0.010683871531295797
2008,3,0.0046137638691940985
2008,4,-0.024443177505966696
2008,5,-0.015457373723138046
2008,6,0.02212795433683734
2008,7,-0.0011182137763282585
2008,8,0.0024916475404521687
2008,9,0.015234833787755475
2008,10,-0.02784083312461072
2008,11,0.10060462335691445
2008,12,0.08250127162980792
2009,1,-0.06467654526386357
2009,2,-0.007096028381049835
2009,3,0.024899402862804232
2009,4,-0.04207392038696023
2009,5,-0.010993750377643052
2009,6,-0.0014948972332172739
2009,7,0.02831472421819292
2009,8,0.013479335318756558
2009,9,0.04368658865152697
2009,10,-0.013074957129437181
2009,11,0.041388873933249526
2009,12,0.014190742800873846
2010,1,-0.042139714298676134
2010,2,0.036011044492796795
2010,3,0.03537821406838959
2010,4,0.023485572724953663
2010,5,-0.06582657195607378
2010,6,-0.020665867835677476
2010,7,0.030067571429299722
2010,8,0.024713893693474098
2010,9,0.031413266196751666
2010,10,0.008294257031872476
2010,11,-0.0032701444182690054
2010,12,0.06007236839261343
2011,1,0.012090466455641824
2011,2,0.03858153188970004
2011,3,0.0076243104019459995
2011,4,0.03497176663714052
2011,5,-0.016100538580788748
2011,6,-0.015249022703500481
2011,7,0.027649785302762853
2011,8,0.07450337214551817
2011,9,0.051347478695614734
2011,10,-0.014835153945669255
2011,11,0.012362477792447368
2011,12,0.007978508253930983
2012,1,0.040981670541686555
2012,2,0.01980330967290489
2012,3,0.020967378437223738
2012,4,-0.0072729032074583255
2012,5,-0.06554967892624475
2012,6,0.037789020688067776
2012,7,0.016231529641107745
2012,8,0.010077853975851925
2012,9,0.0058086648355553105
2012,10,-0.007495935499090556
2012,11,0.006410399368558473
2012,12,-0.0024813764770976743
2013,1,0.03487417213896338
2013,2,-0.002272096776426813
2013,3,0.028825988110977363
2013,4,0.0021341713598195255
2013,5,0.010765528691508042
2013,6,-0.02647580584701814
2013,7,0.041226702365454226
2013,8,-0.00932421309394027
2013,9,0.022786381942819123
2013,10,0.03211548977678569
2013,11,0.017210156760635753
2013,12,0.015202579665288152
2014,1,-0.019411435407968303
2014,2,0.04652225368330365
2014,3,-0.004919376490789662
2014,4,0.008475758409800749
2014,5,0.014974905152591367
2014,6,0.030448210795845032
2014,7,-0.022255392852361555
2014,8,0.032632621805612994
2014,9,-0.030727264496320572
2014,10,0.017644283977463093
2014,11,0.007853851802503309
2014,12,0.007957041746500915
2015,1,0.03808685119136501
2015,2,-0.043182181002005326
2015,3,0.004374824948846889
2015,4,-0.017065191508460864
2015,5,-0.010559397707141205
2015,6,-0.024436317264911023
2015,7,0.013951135017975513
2015,8,0.0026886469407256808
2015,9,0.01074059854205034
2015,10,-0.00011946637828474937
2015,11,-0.015650170141868314
2015,12,-0.003019858689894961
2016,1,0.042513559614003826
2016,2,0.033997443925814164
2016,3,-0.0014011353491668599
2016,4,0.003993473645059753
2016,5,-0.006154410447538616
2016,6,0.05321400684379918
2016,7,0.012324417493719375
2016,8,0.0013459590747999517
2016,9,0.0035815565548411588
2016,10,-0.02060691970834272
2016,11,0.023067674534436478
2016,12,0.01787270635913596
2017,1,0.02275348883617201
2017,2,0.02995123685996348
2017,3,0.0007765985453740409
2017,4,0.010531608822531568
2017,5,0.008888447100547037
2017,6,-0.00034180679409812065
2017,7,0.024132390153046357
2017,8,0.008100099809132066
2017,9,0.015002432584395153
2017,10,0.021855164326821663
2017,11,0.020099248247224866
2017,12,0.010093586172279512
2018,1,0.04712924523538509
2018,2,-0.02670660625504151
2018,3,-0.009411950011952719
2018,4,0.004684195098621613
2018,5,0.021492524291095272
2018,6,-0.00012797969298805612
2018,7,0.017460472922123493
2018,8,0.014571468371945784
2018,9,-0.01004689368928624
2018,10,-0.010593812108285361
2018,11,0.012505267191317726
2018,12,0.0418483033914514
2019,1,0.008074720388096868
2019,2,-0.008254903538408631
2019,3,0.030026987015641993
2019,4,-0.010956547682055562
2019,5,0.04188437110756249
2019,6,0.019825875356030087
2019,7,0.001337847847900031
2019,8,0.0721421112320022
2019,9,-0.020163430624737688
2019,10,-0.00019468280730161602
2019,11,-0.009137713816171011
2019,12,0.0165100621860792
2020,1,0.023216095638933787
2020,2,-0.021184563965999437
2020,3,-0.11621575931006478
2020,4,0.013878115330049123
2020,5,-0.006738217579949524
2020,6,0.002326903177543471
2020,7,0.030054572691455617
2020,8,-0.02624401862027992
2020,9,-0.01853042742141564
2020,10,-0.007143892242470251
2020,11,0.046323525061976456
2020,12,0.04920053169324934
2021,1,0.004311496948768978
2021,2,0.022027054071455332
2021,3,0.02125386331607748
2021,4,0.029802864396479833
2021,5,0.009085119178133816
2021,6,0.02056538301123112
2021,7,0.012893276087311945
2021,8,0.02126410341818885
2021,9,-0.031113086552320035
2021,10,0.028967569520806702
2021,11,0.008865504508926758
2021,12,0.00937656540628895
2022,1,-0.03638078283445756
2022,2,0.0002614186695426568
2022,3,-0.0345946647803177
2022,4,-0.05731809950556832
2022,5,-0.00893022367144991
2022,6,-0.01012169363169002
2022,7,0.01789546948370746
2022,8,-0.03362599266579969
2022,9,-0.05352786450671254
2022,10,-0.03188618676529653
2022,11,0.04808927895227444
2022,12,-0.013252821154544403
2023,1,0.048407465760782475
2023,2,-0.03767020310715474
2023,3,0.040015365463994534
2023,4,0.004542708677272467
2023,5,0.0001654466722089687
2023,6,0.028359310727349873
2023,7,0.014244717342255964
2023,8,-0.017669877279947732
2023,9,-0.04094002050813783
2023,10,-0.0070474916982563585
2023,11,0.04046426656245439
2023,12,0.04610405874652157
2024,1,0.003480581227396362
2024,2,0.036608447226384344
2024,3,0.033515516130212086
2024,4,-0.029955341696848214
2024,5,0.039927295409258656
2024,6,0.021009203094392248
2024,7,0.025089437543653004
2024,8,0.018545408893015702
2024,9,0.023321648816045037
2024,10,-0.017381395564926128
