date,value
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,-0.0006236967810052674
2007-01-08,-0.001248127558436174
2007-01-09,-0.0008742564699617539
2007-01-10,-0.0011231479852233939
2007-01-11,-0.0018721579741808325
2007-01-12,-0.002495788028238355
2007-01-16,-0.001497219254541604
2007-01-17,-0.0018721579741809435
2007-01-18,-0.0014972192545417151
2007-01-19,-0.0016217984660680251
2007-01-22,-0.001248127558436618
2007-01-23,-0.0017469114931766283
2007-01-24,-0.001248127558436618
2007-01-25,-0.0019971375473940567
2007-01-26,-0.0018721579741810546
2007-01-29,-0.0017469114931766283
2007-01-30,-0.001497219254541604
2007-01-31,-0.0013740304991531893
2007-02-01,0.0
2007-02-02,0.0
2007-02-05,-0.00038703257839201033
2007-02-06,0.0
2007-02-07,0.0
2007-02-08,0.0
2007-02-09,-0.005006825275077453
2007-02-12,-0.009923781749725857
2007-02-13,-0.00315260520142413
2007-02-14,0.0
2007-02-15,0.0
2007-02-16,0.0
2007-02-20,0.0
2007-02-21,0.0
2007-02-22,0.0
2007-02-23,-0.0013861446391207899
2007-02-26,-0.0019422818477560222
2007-02-27,-0.036640239422525256
2007-02-28,-0.02806504101967533
2007-03-01,-0.03239327687815807
2007-03-02,-0.046622838074752426
2007-03-05,-0.057014437391936235
2007-03-06,-0.041662101496741544
2007-03-07,-0.04167865813822724
2007-03-08,-0.036035431969948295
2007-03-09,-0.03655847918520183
2007-03-12,-0.0351090104940629
2007-03-13,-0.05085766495274202
2007-03-14,-0.043571953090776105
2007-03-15,-0.04297473459378387
2007-03-16,-0.04384343320738793
2007-03-19,-0.035412017598414725
2007-03-20,-0.03012055208290909
2007-03-21,-0.017198864362515387
2007-03-22,-0.016652103097583915
2007-03-23,-0.017413547629121173
2007-03-26,-0.015904149667791745
2007-03-27,-0.01871471730245422
2007-03-28,-0.02286374737976371
2007-03-29,-0.02078949443694289
2007-03-30,-0.021836388605514512
2007-04-02,-0.021611571401409235
2007-04-03,-0.014220025427103544
2007-04-04,-0.010480509252929315
2007-04-05,-0.00838229802492263
2007-04-09,-0.009693085335753415
