date,regime,weights,controls,realizedVol60d,turnover
2015-08-31,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.09448034197694875,0.0
2015-09-30,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.08973256362366314,0.0
2015-10-30,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.08944816644656398,0.0
2015-11-30,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.07839076165494543,0.0
2015-12-31,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.0757642389479145,0.0
2016-01-29,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.08144960491270604,0.0
2016-02-29,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.09477234329727433,0.0
2016-03-31,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.09063784664797533,0.0
2016-04-29,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.08635471586556291,0.0
2016-05-31,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.0706883277206816,0.0
2016-06-30,Contraction,"{'SPY': 0.0, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.45, 'IEF': 0.25, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.0, 'DBC': 0.0, 'GLD': 0.15, 'SHY': 0.15}",[],0.08951768730256388,0.0
2016-07-29,Recovery,"{'SPY': 0.24999999999999994, 'QQQ': 0.14999999999999997, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.14999999999999997, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.14999999999999997, 'HYG': 0.19999999999999996, 'DBC': 0.0, 'GLD': 0.09999999999999998, 'SHY': 0.0}",[],0.09561963580075919,1.4999999999999998
2016-08-31,Recovery,"{'SPY': 0.24999999999999994, 'QQQ': 0.14999999999999997, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.14999999999999997, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.14999999999999997, 'HYG': 0.19999999999999996, 'DBC': 0.0, 'GLD': 0.09999999999999998, 'SHY': 0.0}",[],0.08813502581666775,0.0
