date,turnover
2010-05-28,1.600565031052271
2010-06-30,0.3369308674063972
2010-07-30,0.8490273103450758
2010-08-31,0.14357547002849508
2010-09-30,0.24461888781365515
2010-10-29,0.06872697406095102
2010-11-30,0.6431520678193742
2010-12-31,0.15715445325321428
2011-01-31,0.10339403729836567
2011-02-28,0.08430256285720927
2011-03-31,0.02502148897903018
2011-04-29,0.018747490880941405
2011-05-31,0.6241268618763262
2011-06-30,0.08443917398720961
2011-07-29,0.5987176305527117
2011-08-31,0.10447129579878509
2011-09-30,0.06733978695128517
2011-10-31,0.15994711391195449
2011-11-30,0.06726567745404284
2011-12-30,0.8823284658820817
2012-01-31,0.2230466206057283
2012-02-29,0.33013157596708786
2012-03-30,0.16903740447920315
2012-04-30,0.12985716546058249
2012-05-31,0.05967833686424289
2012-06-29,0.8727785206741074
2012-07-31,0.12384253997272729
2012-08-31,0.2347675713740317
2012-09-28,0.46347123654284506
2012-10-31,0.07776979582479937
2012-11-30,0.895817907796497
2012-12-31,0.30964514901385776
2013-01-31,0.24063201608078796
2013-02-28,0.14590606960157712
2013-03-28,0.09703840946110757
2013-04-30,0.06566863038987676
2013-05-31,0.09208617496212809
2013-06-28,0.14977568648565764
2013-07-31,0.07739664710510905
2013-08-30,0.09446675171957655
2013-09-30,0.04322945853092993
2013-10-31,0.12636796304340966
2013-11-29,0.13213735261981868
2013-12-31,0.14061830880705967
2014-01-31,0.17631297235715343
2014-02-28,0.6043802647331626
2014-03-31,0.1275943634123566
2014-04-30,0.6138785391858705
2014-05-30,0.14774137285255928
2014-06-30,0.06532685322989144
2014-07-31,0.040322545385839396
2014-08-29,0.08071039642251286
2014-09-30,0.04569367002203438
2014-10-31,0.025188561735551406
2014-11-28,0.6805242532726387
2014-12-31,0.12143556653474857
2015-01-30,0.5339463264385154
2015-02-27,0.1294127023842182
2015-03-31,0.021799625748123785
2015-04-30,0.020514639730759014
2015-05-29,0.055806710571807465
2015-06-30,0.060824044634899155
2015-07-31,0.050426951613895786
2015-08-31,0.021211886324850618
2015-09-30,0.023000355582842386
2015-10-30,0.21951535759112106
2015-11-30,0.20629761891781423
2015-12-31,0.4405217032235361
2016-01-29,0.3608939604383389
2016-02-29,0.07080420513380085
2016-03-31,0.09863455954133758
2016-04-29,0.019945017880384983
2016-05-31,0.011798704551740598
2016-06-30,0.15602795362353422
2016-07-29,0.9335441902938492
2016-08-31,0.31486995361849485
2016-09-30,0.13968442305136236
2016-10-31,0.34168468301071264
2016-11-30,0.17524913825604338
2016-12-30,0.1182396979342838
2017-01-31,0.10588447508469107
2017-02-28,0.13840939699145555
2017-03-31,0.05095048197615332
2017-04-28,0.11633411788315659
2017-05-31,0.06775140688726472
2017-06-30,0.15467538664338068
2017-07-31,0.08555517576036197
2017-08-31,0.036873235723953124
2017-09-29,0.09487868790972487
2017-10-31,0.22270881582609064
2017-11-30,0.07891151623220014
2017-12-29,0.04858922560628827
2018-01-31,0.05206463711142889
2018-02-28,0.05893570909814754
2018-03-29,0.03578664833990222
2018-04-30,0.4402130271333885
2018-05-31,0.5839867562653173
